Number,Author,Title,Date,Publication,Summary,Responsible NetID,Checked by NetID,Footnote
1,Alexander Hamilton,General Introduction,N/A ,Independent Journal,Proposing the federalist papers to address opposition to new constitution,dzy4,,1
2,John Jay,Concerning Dangers from Foreign Force and Influence,N/A,Independent Journal,,az283,hcm58,0
3,John Jay,The Same Subject Continued: Concerning Dangers From Foreign Force and Influence,N/A,Independent Journal,Addresses the utility of the Union in protecting Americans against foreign aggression and meddling,hcm58,,0
4,John Jay,The Same Subject Continued: Concerning Dangers From Foreign Force and Influence,N/A,Independent Journal,Argues that having one national government is more advantageous than having separate state governments from a military perspective,jw975,,0
5,John Jay,The Same Subject Continued: Concerning Dangers from Foreign Force and Influence,N/A,Independent Journal,"The nation should remain united as a fractured nation of many states would repeat the mistakes of Great Britain. Equality of states is impossible and would result in envy and distrust, and states may forge alliances with foreign nations independently of others. A single nation is crucial for success.",evf23,,0
6,Alexander Hamilton,Concerning Dangers from Dissensions Between the States,N/A,Independent Journal,"Description of potential dangers that can arise due to political dissention within a country with historic, foreign examples",ejc254,,1
7,Alexander Hamilton,The Same Subject Continued: Concerning Dangers from Dissensions Between the States,N/A,Independent Journal,Addresses the dangers of dissension among states if there is no strong federal government; suggests the likelihood of war over peace if the unity of states is dissolved.,mac487,,1
8,Alexander Hamilton,The Consequences of Hostilities Between the States,"Tuesday, November 20, 1787",New York Packet,"If individual states are not united under the Union, it will inevitably lead to war between the states, putting smaller states at the most risk. This would lead to standing armies and the rise of monarchies in order to lead these armies and protect citizens of each state, while simultaneously infringing on individual liberties. If the states unite as one country, internal wars can be avoided and liberty can be preserved.",mad298,,1
9,Alexander Hamilton,The Union as a Safeguard Against Domestic Faction and Insurrection,N/A,Independent Journal,"The goal of the Union is to prevent domestic factions (dissenting groups) and insurrection (uprising against the government). There will be distribution of power, legislative checks and balances, courts of judges,and representation of the people in elections in order to maintain an excellent republican government. Hamilton quotes Montesquieu's philosophies in support of pointing out a union's tendency to repress domestic faction and insurrection.",srm276,,1
10,James Madison,The Same Subject Continued: The Union as a Safeguard Against Domestic Faction and Insurrection,"November 23, 1787",New York Packet,This federalist paper defends the structure of the republican government suggested by the constitution. He asserts that having many factions will avoid tyranny and that the large size of the nation will result in difficulty for a single faction to take control.,jb2338,,0
11,Alexander Hamilton,The Utility of the Union in Respect to Commercial Relations and a Navy,N/A,Independent Journal,"The establishment of a federal navy will protect the commercial and naval interests of the new fledging United States, and these commercial relations are the lifeline of the new economy",dc784,,1
12,Alexander Hamilton,The Utility of the Union In Respect to Revenue,"Tuesday, November 27, 1787.",New York Packet,"The prosperity of commerce is now perceived and acknowledged by all enlightened statesmen to be the most useful as well as the most productive source of national wealth, and has accordingly become a primary object of their political cares.",xm53,yz689,1
13,Alexander Hamilton,Advantage of the Union in Respect to Economy in Government,N/A,Independent Journal,,yz689,zw282,0
14,James Madison,Objections to the Proposed Constitution From Extent of Territory Answered,"Friday, November 30, 1787.",New York Packet,,zw282,,0
15,Alexander Hamilton,The Same Subject Continued: The Insufficiency of the Present Confederation to Preserve the Union,N/A,Independent Journal,"warns citizens that the states have reached national humiliation. There is impending anarchy between the states and borrowing and lending policies are causing turmoil. Publius says that the states must make a firm stand for their tranquility, dignity and reputation by creating a new government with a more energetic executive.",sza7,kl824,1
16,Alexander Hamilton,"	
The Same Subject Continued: The Insufficiency of the Present Confederation to Preserve the Union","Tuesday, December 4, 1787",New York Packet,"The tendency of the principle of legislation for States, or communities, in their political capacities, as it has been exemplified by the experiment we have made of it, is equally attested by the events which have befallen all other governments of the confederate kind, of which we have any account, in exact proportion to its prevalence in those systems.",kl824,,0
17,Alexander Hamilton,The Same Subject Continued: The Insufficiency of the Present Confederation to Preserve the Union,"Tuesday, December 4, 1787",Independent Journal,Addresses the possible encroachment by states on federal powers. Addresses the idea that state governments will have popular backing to resist any federal encroachment on states rights.,cjz36,,0
18,Alexander Hamilton and James Madison,The Same Subject Continued: The Insufficiency of the Present Confederation to Preserve the Union,"Tuesday, December 4, 1787",Independent Journal,Addresses the failure of the Articles of Confederation to satisfactorily govern the United States.,tbn6,,1
19,Alexander Hamilton and James Madison,The Insufficiency of the Present Confederation to Preserve the Union,"December 4, 1787",Independent Journal,,nb378,,
20,Alexander Hamilton and James Madison,The Same Subject Continued: The Insufficiency of the Present Confederation to Preserve the Union,"December 11, 1787",New York Packet,"Regards how the States-General of unions have high powers and responsibilities, and these deputies should be treating the provinces in unanimity. Especially because it's these provinces who appoint these deputies.",ahy7,,0
21,Alexander Hamilton,Other Defects of the Present Confederation,N/A,Independent Journal,The federal government can defend each of the states individually and access taxes directly.,kjf63,,0
22,Alexander Hamilton,The Same Subject Continued: Other Defects of the Present Confederation,"December 14, 1787",New York Packet,"The power to regulate commerce is one of the strongest reasons to switch from the Articles of Confederation to a stronger ""federal superintendence"". Current structure under the confederation is weak and unable to support the demands that are required of a global nation",alj74,az243,4
23,Alexander Hamilton,The Necessity of a Government as Energetic as the One Proposed to the Preservation of the Union,"December 18, 1787",New York Packet,"The necessity of a Constitution, at least equally energetic with the one proposed, to the preservation of the Union, is the point at the examination of which we are now arrived.",az243,rsk227,0
24,Alexander Hamilton,The Powers Necessary to the Common Defense Further Considered,N/A,Independent Journal,,rsk227,jwz23,1
25,Alexander Hamilton,The Same Subject Continued: The Powers Necessary to the Common Defense Further Considered,"December 21, 1787",New York Packet,There is a great importance for a Union-backed military that can protect all the States in the case where foreign nations attack. The States themselves should make it a priority to provide for the forces as well.,jwz23,mp832,0
26,Alexander Hamilton,The Idea of Restraining the Legislative Authority in Regard to the Common Defense Considered,N/A,Independent Journal,"It is ineffective to prohibit standing armies. Restricting the size of a standing army makes sense, but disallowing them altogether does not make sense. ",mp832,alj74,0
27,Alexander Hamilton,The Same Subject Continued: The Idea of Restraining the Legislative Authority in Regard to the Common Defense Considered,"December 25, 1787",New York Packet,,hc667,,1
28,Alexander Hamilton,The Same Subject Continued: The Idea of Restraining the Legislative Authority in Regard to the Common Defense Considered,N/A,Independent Journal,,sk2347,,1
29,Alexander Hamilton,Concerning the Militia,"Thursday, January 10, 1788",Daily Advertiser,"A well-regulated (efficient) militia composed of the people will be more uniform and beneficial to the ""public defense"" of Americans. An excessively large militia can harm a nation's work force, as not everyone can leave their profession to go through military exercises. Thus, a smaller, but still well-regulated militia, is the answer. The militia, as it is constituted directly of the people and managed by the states, is not a danger to liberty when called into use by other states to do things such as quell insurrections.",spa42,,0
30,Alexander Hamilton,"
Concerning the General Power of Taxation","December 28, 1787",New York Packet,The federal government should adopt a policy of taxation that applies to all citizens of the United States.,az258,,0
31,Alexander Hamilton,The Same Subject Continued: Concerning the General Power of Taxation,"Tuesday, January 1, 1788",New York Packet,"A government must possess all the powers necessary for achieving its objectives, including taxation, which will be limited by the body of elected representatives.",pd353,az258,0
32,Alexander Hamilton,The Same Subject Continued: Concerning the General Power of Taxation,"Thursday, January 3, 1788.",Daily Advertiser,"Hamilton acknowledges that the concurrent power of taxation could lead to situations in which state governments and the national government impose taxes on the same item, but the prudence of governments can be relied on to avoid such situations",ys778,,0
33,Alexander Hamilton,The Same Subject Continued: Concerning the General Power of Taxation,"Thursday, January 3, 1788",Daily Advertiser,power to lay and collect taxes must be a power to pass all laws NECESSARY and PROPER for the execution of that power,sw925,,0
34,Alexander Hamilton,The Same Subject Continued: Concerning the General Power of Taxation,"Friday, January 4, 1788",New York Packet,"Taxes are necessary to support wars, which are necessary to defend the state",kl782,"
",0
35,Alexander Hamilton,"The Same Subject Continued: Concerning the General Power of Taxation
",N/A,Independent Journal,"The oppression of particular branches of industry; and an unequal distribution of the taxes, as well among the several States as among the citizens of the same State",wpt25,,0
36,Alexander Hamilton,The Same Subject Continued: Concerning the General Power of Taxation,"January 8, 1788",New York Packet,"Hamilton details the government's need for a body of tax collectors knowledgeable of every district, so as to establish a value to be taxed. He claims that this will be accomplished by using the same tax collectors as the state governments do. Hamilton argues against a poll tax",ds869,,1
37,James Madison,Concerning the Difficulties of the Convention in Devising a Proper Form of Government,"January 11, 1788",Daily Advertiser,,ag2228,,0
38,James Madison,"The Same Subject Continued, and the Incoherence of the Objections to the New Plan Exposed","Tuesday, January 15, 1788.",New York Packet,Criticizing those who oppose the creation of the new Constitution.,vlz2,jhc287,0
39,James Madison,The Conformity of the Plan to Republican Principles,N/A,Independent Journal,Talks about what a nation is and where the power of the government comes from. Discusses the nature of power in relation to authority.,jhc287,vlz2,
40,James Madison,The Powers of the Convention to Form a Mixed Government Examined and Sustained,"Friday, January 18, 1788.",New York Packet,This paper discusses the authority of the convention to create the constitution.,akn35,,
41,James Madison,General View of the Powers Conferred by the Constitution,N/A,Independent Journal,,mck85,,0
42,James Madison,The Powers Conferred by the Constitution Further Considered,"January 22, 1788",New York Packet,"A description of the general government, its functionalities, duties and obligations as the second class of power.",se338,,0
43,James Madison,The Same Subject Continued: The Powers Conferred by the Constitution Further Considered,N/A,Independent Journal,"Madison discusses “miscellaneous powers” such as the power of patents and copyright, laws for the capital city and federal buildings, treason punishment, and the power to admit new states to the union. The national government cannot join or separate states without consent of the states themselves. ",lam364,,0
44,James Madison,Restrictions on the Authority of the Several States,"January 25, 1788",New York Packet,States rights vs. federal rights,sah346,,0
45,James Madison,The Alleged Danger From the Powers of the Union to the State Governments Considered,N/A,Independent Journal,The powers granted to the national government by the Constitution do not threaten the powers left to the states. State governments will lose some of their importance and sovereignty as a result of the Constitution.,emw248,,0
46,James Madison,The Influence of the State and Federal Governments Compared,"January 29, 1788",New York Packet,,kmw259,,0
47,James Madison,The Particular Structure of the New Government and the Distribution of Power Among Its Different Parts,"Friday, February 1, 1788.",New York Packet,,xz494,ye35,0
48,James Madison,These Departments Should Not Be So Far Separated as to Have No Constitutional Control Over Each Other,"Friday, February 1, 1788",New York Packet,Only setting constitutional limits on governmental departments is insufficient. These departments should have constitutional control over each other,ye35,bc596,0
49,Alexander Hamilton or James Madison,Method of Guarding Against the Encroachments of Any One Department of Government by Appealing to the People Through a Convention,"Tuesday, February 5, 1788.",New York Packet,"The author begins by agreeing that there is logic to the idea of allowing the people to appeal through the use of a convention, but then explains that it would be unworkable and contradictory to the proposed Constitution.",bc596,nb487,0
50,Alexander Hamilton or James Madison,Periodic Appeals to the People Considered,"Tuesday, February 5, 1788",New York Packet,Advocating periodical appeals to determine if the constitution has been violated in order to better enforce it,nb487,,0
51,Alexander Hamilton or James Madison,The Structure of the Government Must Furnish the Proper Checks and Balances Between the Different Departments,"Friday, February 8, 1788.",New York Packet,"Arguments and reasoning behind American government structure and division of pwoer between the legislative, judicial and executive branches for better functioning of the government.",nkm39,hl973,0
52,Alexander Hamilton or James Madison,The House of Representatives,"Friday, February 8, 1788.

",New York Packet,On the electors of the House of Representatives and electors of State governments,hl973,,0
53,Alexander Hamilton or James Madison,The Same Subject Continued: The House of Representatives,"Tuesday, February 12, 1788",New York Packet,,zw85,,0
54,Alexander Hamilton or James Madison,The Apportionment of Members Among the States,"Tuesday, February 12, 1788",New York Packet,How to appoint members of the House of Representatives. On what basis to appoint members.,bg368,,0
55,Alexander Hamilton or James Madison,The Total Number of the House of Representatives,"February 15, 1788",New York Packet,"Argues for ideal number of people in the House of Representatives in order to have a successful, representative, and democratic government and that a smaller number is harmful.",szk4,,0
56,Alexander Hamilton or James Madison,The Same Subject Continued: The Total Number of the House of Representatives,"Tuesday, February 19, 1788",New York Packet,The number of people in the House of Representatives and how many people are responsible for electing how many representatives (?),cc972,nkm39,0
57,Alexander Hamilton or James Madison,The Alleged Tendency of the Plan to Elevate the Few at the Expense of the Many Considered in Connection with Representation,"Tuesday, February 19, 1788",New York Packet,,jc2747,,0
58,Madison,Objection that the Number of Members Will Not Be Augmented as the Progress of Population Demands Considered,,,"Federalist No. 58 is an essay by James Madison, the fifty-eighth of The Federalist Papers. This paper examines the ability of the United States House of Representatives to grow with the population of the United States.",,,0
59,Alexander Hamiliton,Concerning the Power of Congress to Regulate the Election of Members,"Friday, February 22, 1788",New York Packet,,pse23,,1
60,Alexander Hamilton,The Same Subject Continued: Concerning the Power of Congress to Regulate the Election of Members,"Tuesday, February 26, 1788.",New York Packet,,fa98,,
61,Alexander Hamilton,The Same Subject Continued: Concerning the Power of Congress to Regulate the Election of Members,"Tuesday, February 26, 1788.",New York Packet,Argued for Congress setting a uniform time for elections to be held and the innecessity of requiring elections to be held in the counties where the electors reside,wh375,mas764,0
62,Alexander Hamilton or James Madison,The Senate,"February 27, 1788",Independent Journal,Details and seeks to justify the organization of the United States Senate,mas764,,0
63,Alexander Hamilton or James Madison,The Senate Continued,"March 1, 1788",Independent Journal,Continuation of arguments to justify the organization of the U.S. Senate,als452,mas764,0
64,John Jay,The Powers of the Senate,"Friday, March 7, 1788",New York Packet,Treaties and how they are formed under the constiution,jet253,als452,0
65,Alexander Hamilton,The Powers of the Senate Continued,"Friday, March 7, 1788.",New York Packet,,sm2344,ms2628,0
66,Alexander Hamilton,Objections to the Power of the Senate To Set as a Court for Impeachments Further Considered,"March 11, 1788",New York Packet,Hamilton responds to four objections that were raised against the Senate’s right to be a court for an impeachment trial.,ms2628,im324,1
67,Alexander Hamilton,The Executive Department,"Tuesday, March 11, 1788",New York Packet,Analyzes certain parts of constitutions to point out that presidents are not allowed to fill in vacancies in senate ,im324,wh375,2
68,Hamilton,The Mode of Electing the President,"Friday, March 14, 1788",New York Packet,,rrg73,,1
69,Alexander Hamilton,The Real Character of the Executive,"March 14, 1788",New York Packet,Outlines the checks and balances on the office of the president of the United States and deliberately highlights the differences between the US President and the king of England.,jvw26,mtp55,3
70,Alexander Hamilton,The Executive Department Further Considered,"March 18, 1788",New York Packet,,mtp55,jjd268,3
71,Alexander Hamilton,The Duration in Office of the Executive,3/18/1788,New York Packet,How long the presidential term of office should be.,jjd268,jvw26,0
72,Alexander Hamilton,"The Same Subject Continued, and Re-Eligibility of the Executive Considered",,New York Packet,"A continuation of the previous argument regarding the duration of the executive role, and a discussion of presedential re-eligibility",hd292,,0
73,Alexander Hamilton,"The Provision For The Support of the Executive, and the Veto Power","Friday, March 21, 1788",New York Packet,,gar224,,1
74,,"The Command of the Military and Naval Forces, and the Pardoning Power of the Executive",,,,,,
75,Alexander Hamilton,The Treaty Making Power of the Executive,N/A,Independent Journal,discusses why the treaty making power should not be solely entrusted in a single branch of the government.,emw248,,0
76,Alexander Hamilton,The Appointing Power of the Executive,"Tuesday, April 1, 1788",New York Packet,role of president in nominating Supreme Court Justices and other roles,bg368,,0
77,,The Appointing Power Continued and Other Powers of the Executive Considered,"Friday, April 4, 1788",New York Packet,the constitutional provisions for the presidency have successfully incorporated “all the requisites of energy” without violating republican principles of liberty,ys778,,0
78,,The Judiciary Department,,,,,,
79,Alexander Hamilton,The Judiciary Continued,N/A,"McLEAN'S Edition, New York",,cc972,,1
80,,The Powers of the Judiciary,,,,,,
81,Alexander Hamilton,"The Judiciary Continued, and the Distribution of Judicial Authority",N/A,"McLEAN'S Edition, New York",The Supreme Court and subsidary state/district courts of the United States will work collectively to ensure equal and just laws.,az258,,4
82,Alexander Hamilton,The Judiciary Continued,N/A,"McLEAN'S Edition, New York",Establishes that the judicual power rests solely on the supreme court.,szk4,,0
83,,The Judiciary Continued in Relation to Trial by Jury,,,,,,
84,,Certain General and Miscellaneous Objections to the Constitution Considered and Answered,,,,,,
85,Alexander Hamilton,Concluding Remarks,,,,rk493,,